LELL  Sabadell 
ETOR  Coleman AB (clsd) 
TX43  Goode Field 
PFTO  TOK JUNCTION 
YCHI  CAPE SHIELD (DJARRAKPI) 
NK72  James Henion Private Field 
YTHS  Three Spings 
KOXI  Starke Co 
3TA  Stafford Muni 
LFPU  Moret Episy 
UKFK  KERCH INTL 
LFSN  Nancy Essey 
YTIW  TIRRAWARRA 
FQMD  Mueda 
KOYM  St Marys Muni 
1AR5  Woodhull 
LFQQ  Lille Lesquin 
83D  Mackinac Co 
RK17  G 406 
A08  Vaiden Fld 
LFRJ  Landivisiau 
KMAI  Marianna Muni 
CER3  Drayton Valley Industrial 
VI71  KALKA 
OH78  Swigart 
YMDE  MOUNT DORE 
TX57  [H] US Coast Guard Station 
49VA  [H] Rappahannock General Hospital 
58OK  [H] Jane Phillips 
ESKK  Karlskoga 
NGUK  Aranuka 
CYAB  Arctic Bay 
PASM  St Marys 
0PN8  Shriver 
SSPE  Essencia Retiro do Rio Cuiaba 
KSIF  Rockingham County NC Shiloh 
EFSU  Suomussalmi 
SA8M  LEONES 
DIDL  DALOA 
WZ38  Kegata (CAMA) 
XC001B  Parc Gatineau Seaplane Base 
EFPN  Punkaharju 
SDSD  Sama I 
XC002Y  Confederation Lake 
9ND3  Redmond Brothers Airstrip 
FVKB  KARIBA INTL 
MI09  Milan 
1X6  Lewis 
1OI0  [H] Manairco 
LA40  FL BRAUGHTON 
LFDG  Gaillac l Isle sur Tarn 
QPYM  [S] Pyramid Lake Landing Zone 
KCYW  CLAY CNTR MUNI 
SD38  White River Municipal 
DBBP  Parakou 
KAAS  Taylor County 
81MU  [H] St Johns Regional Health Center 
KCZL  TOM B DAVID FLD 
RP17  Malita 
PHMU  WAIMEA KOHALA 
KTZV  Tomkinsville Monroe Co 
PA31  Rover 
YAGD  Augustus Downs 
5MO6  Apache Flats 
II86  Poole 
2AZ3  El Mirage-Village Square 
TS00  Fuller 
SSFH  Vale dos Dinossauros 
MUCU  Santiago de Cuba 
CYWO  Lupin 
WA0B  Idedua 
SSES  Encruzilhada do Sul 
VEAZ  Aizawl 
RKRP  G 110 
XESE7  [H] Porjus flyghamn 
ME38  Mars Hill 
SJKZ  Estevao 
8S8  Fairways 
KFGU  Collegedale Muni 
XLF009O  Golfe de Saint Tropez 
KHIF  Hill AFB 
6OI9  [H] Red Roof Inns 
WV09  Mike Ferrell Field 
XUUBF  Chukhloma (Tsentral'niy) 
SJHA  Fazenda Janaina 
2TA6  Pyramid Ranch 
11MN  [S] Sixberrys Landing 
4G0  Pittsburgh-Monroeville 
D93  Airtrek 
SDDM  [H] Dona Marta 
ZMMG  Mandalgobi 
XLF008K  Champlemy 
86IL  Davison Rla 
XCWC2  [H] Kelowna Wildcat 
AT27  Troll Airfield 
SJIE  Aero Agricola Sapezal 
SDGV  [H] CPM Granja Viana 
95KY  Crawford 
KHKY  Hickory Rgnl 
II92  [H] Layden 
XEDDH  Kirchzarten 
FD79  [S] Jordan 
CYVK  Vernon 
37OR  Vey Sheep Ranch 
SSDW  Fazenda Potrich 
3II3  Basting 
YOKH  OAKDEN HILLS 
54MN  Sells Flying Field 
PA25  Cuatros Vientos 
VNST  Simikot 
5MN2  Hoiland Field 
VE54  DALTONGANJ 
KVCV  Southern California Logistics 
LJPO  Postojna 
LA54  Gilliam 
VYPU  Pakhokku 
1OH4  Fortman 
SAZO  Necochea 
LFEC  Ouessant 
DE08  [H] Barcroft Company 
SCAP  Alto Palena 
92ND  Dietz 
4WA5  Millers Field 
41A  REEVES 
LFFX  Tournus Cuisery 
LHHK  Hajmáskér 
CKH2  Rocanville 
72OR  Ochs - Private 
23II  Noblesville 
PHNY  Lanai 
WMPR  Pulau Redang STOLport 
MU53  [H] Twin Rivers Regional Medical Center 
YADH  Ashburton Downs Homestead (old) 
HDAM  Djibouti Ambouli 
XED01  Altenbachtal 
40R  Sybert Farm 
KMTH  The Florida Keys Marathon 
LFGK  Joigny 
M05  Caruthersville Memorial 
CL97  [H] Mercy Hospital & Medical Center 
LFDP  Saint Pierre d'Oleron 
SJHV  [H] Valmor Weiss 
ME04  [S] Ilco Landing Area 
SDFE  Fazenda Santo Antonio 
88FL  [H] Sailfish Point 
LOLE  Eferding 
UNLL  KOLPASHEVO 
XLF0099  Vaitella Galéria 
66II  Pat Robinson 
KFDY  Findlay 
8OH8  Allen 
SC62  [H] Hampton General Hospital 
SJKM  Canawapai 
RKRG  G 301 
WV35  [S] Pomeroy-Mason 
36T  [H] Nw Police Station Nr 5 
YJWB  JOWALBINNA 
SSED  Fazenda Escalada 
4KS6  Thomsen Field 
XIUW  Ulan-Ude Vostochny 
WA0U  Tinggipura 
PAEW  Newtok 
FD51  Summerland Key Cove 
PAFL  Tin Creek 
XSOQKR  Kourou 
TS28  [H] Northeast Community Hospital 
YHMY  HAMERSLEY 
FD45  [H] Fort Walton Beach Medical Ctr 
35WA  Fisher Ranch 
PAGH  SHUNGNAK 
SDGA  [H] Acapulco 
ME10  Enman Fld 
SJIR  Engenheiro Joaquim Martins 
34K  Kiowa 
SC76  Unity Aerodrome 
8Q0  Travis LRRS Aero Club 
00TS  Alpine Range 
6OK1  John Reid 
LA68  Zaunbrecher Strip 
1OK8  5B Ranch 
KMUL  Spence 
M11  Copiah County 
LFFO  Beauvoir-Fromentine 
SAZX  Nueve De Julio 
KOMH  Orange County 
42M  Thayer Mem 
70WA  [H] Whitman Community Hospital 
CL83  [H] Joe Heidrick 
LFET  Til-Châtel 
Z20  [S] Tuntutuliak SPB 
KXMR  Cape Canaveral AFS Skid Strip 
PA19  Strizki 
MU47  [H] Nemo Coal Co 
KXNI  Andrew Othole Memorial 
45TS  [H] Bullhead 
YAKG  Arckaringa 
T13  Lewis Ranch 
YCPX  RESEARCH STN 
IN23  Zeller Elev Co 
YCSC  COMPRESSOR STATION 6 
CL68  [H] Platform Harvest 
C22  CENTRE MUNI 
SCOL  Refugio del Lago 
HWI  [S] Hawk Inlet 
KCVO  Corvallis Muni 
1T5  Comfort Airpark 
05GA  [H] Beaver Ruin 
KANK  Harriet Alexander Field 
LA83  Mc Cutcheon Field 
SAWH  Ushuaia Malvinas Argentinas Intl 
8FL9  Southwest Citrus 
LFHD  Pierrelatte 
KCUT  Custer County 
SDJQ  FAZENDA SAO JOAQUIM OB 
6R3  Cleveland Muni 
EDRD  Neumagen-Dhron 
XLF006W  Château de l'Estang 
UNCC  Novosibirsk Severny 
WX12  Apa Uping (Pertamina) 
EHDS  Aero Club Salland 
D44  Waskish Municipal 
AZ28  [H] Lost Dutchman 
SDIJ  [H] Gravata 
SJGY  Fazenda Barriguda 
KHEE  Thompson Robbins 
XLF005L  Voves Viabon 
UI34  [H] Verkhnemarkovo 
6TS7  [H] Johnny Voudouris 
2CN4  Paramount Farms 
XLRPREJ  Prejmer 
SSIP  Fazenda Santa Otilia 
KSPS  Sheppard AFB 
MULM  LA COLOMA 
II45  Renshaw 
YFMA  Malahide 
S75  Payette Municipal Airport 
40GA  [H] Smyrna Hospital 
SSJK  Julio De Castilos 
2CO0  [H] Heli-Support II 
ESPA  Luleå Kallax 
CYZH  Slave Lake 
3NC6  Mc Cachren Field 
SSHT  Ingazeira 
ESSZ  Gnesta Vangso 
II51  Hull 
FASI  Springs 
S61  Hackney Airpark 
SSKO  Independencia 
LOAU  Stockerau 
SDKU  [H] Itanhanga 
75FL  Sandy Creek 
SJEF  Fazenda Costa Rica 
XLF007S  Jasney 
D50  Crosby Muni 
4K3  Lexington Muni 
WX06  Amazu (ZGK) 
UNBG  Gorno-Altaysk 
SDHN  [H] Philips 
SC89  Price 
UI20  [H] Burovaya 363/2 
XLF004H  Le Girouard 
XLF0072  Prissac 
C36  [H] Igloo 
3NO  North Omaha 
3M5  Moontown 
XLF00AC  Jouques Bèdes 
1U1  Moose Creek USFS 
LA97  [H] Lady of The Sea Hospital 
KAOO  Altoona Blair Co 
IN37  [H] Midwest Steel 
30FL  [H] Putnam Community Hospital 
58TA  Heritage Creek Airstrip 
5CO9  [H] WCDH 
YCRG  Corryong 
SVUM  Uriman 
1AK7  Hardee Field 
CL54  [H] Westside Towers 
63XS  BYRAM RANCH 
LFHS  Bourg Ceyzériat 
RI01  [H] Kent County Memorial Hospital 
JLA  Quartz Creek 
XEN001N  Spydeberg 
KAMG  Bacon Co 
SATD  Eldorado 
KCVX  CHARLEVOIX MUNI 
5TN0  [H] TGP Station 79 
LFKH  Saint Jean d Avelanne 
MGRB  Rubelsanto 
KTVB  Cabool Memorial 
MU90  [H] Falcon 
XESS10  Hornlanda 
LSPM  Ambri 
WAJF  Molof (GKI) 
4NA7  Dalamar Farms Airstrip 
26XS  Tatum Ranch 
FD92  Southerland Strip 
24CL  SALYER FARMS 
PAJO  Johnstone Point 
II79  Sommers 
XEG7KC  Kemeys Commander 
SSIG  Fazenda Santa Maria 
VEMN  Dibrugarh 
S49  Miller Memorial Airpark 
SJGN  Fazenda Agromar 
VRMT  Kaadedhdhoo 
KFKA  Fillmore Co 
2TN9  [H] Bmhuc 
EDQH  Herzogenaurach 
AZ14  Ammon 
SDJF  Fazenda Jequitiba 
SJDU  Nossa Sra. do Loreto 
D78  Lakestone Farm 
39L  [H] Memorial Medical Center Long Beach 
UI08  Barguzin 
EDRS  Bad Sobernheim 
SDHY  [H] Edificio Sao Luiz Gonzaga 
CBL3  Gordon Field 
SJFJ  Tres Marias da Pitangueira 
EFKS  Kuusamo 
02CO  Mc Cullough 
SJEQ  Fazenda Bom Jesus 
ZMBH  Bayankhongor 
SDKB  Casa Branca 
LOAB  Dobersberg 
NY33  WESTERLO 
XLF007D  Lanans 
PTPN  Pohnpei Intl 
EDSW  Altdorf-Wallburg 
CYYD  Smithers Regional 
FD86  Deep Woods Ranch 
ESSM  Filipstad Brattforsheden 
SSKX  Fazenda Sao Luiz do Matao 
YFLR  FLORINA 
PAKK  Koyuk Alfred Adams 
YHBA  Hervey Bay 
FAPE  Port Elizabeth 
2MA4  [H] Digital King Street 
8TS2  Henrietta 
SSHC  Capitao Pedro Paranhos 
YHAZ  Hazelton 
MYX3  Mores Island 
PAHP  HOOPER BAY 
MU84  Michael Farm 
KTWF  Joslin Field 
47CO  Mile Hi 
54AZ  Somerton 
YCRP  CORELLA PARK 
5CL5  [H] Kcin Emergency 
SVVA  ARTURO MICHELENA INTL 
KOAK  Metropolitan Oakland Intl 
XHHAV  Le Havre Hopital Jacques Monod 
UERA  Aykhal 
CL40  [H] Antelope Valley Service Center 
92AK  [H] Mat-Su Regional Medical Center 
LHGD  Gödöllõ 
RI15  [H] One Hospital Trust 
XLF00BO  Montrevel en Bresse 
3N9  Alamo Navajo 
XEN000J  Sandvin Oddadalen 
LFJL  Metz-Nancy-Lorraine 
YWCA  Wilcannia 
NZWR  Whangarei 
CJN2  Kamsack 
0AZ6  [H] St Josephs Hospital 
EG76  Nayland 
SNQG  Cangapara 
LIMP  PARMA 
AR21  [H] St Edward Mercy Medical Center 
XUSCD  [X] Shadrinsk 
VTCY  Nok 
SBGP  Embraer Unidade Gaviao Peixoto 
NZTI  Taieri 
XS28  North Willis 
LKVO  Vodochody 
YLUL  MOOLELULOOLOO 
GA61  Kenley Field 
VCCC  Colombo Ratmalana Intl. 
CT36  Gager Field 
0TA3  Tate Ranch 
22MA  [H] Pooles 
3OI5  [H] Welded 
NA45  Sandstrom Airstrip 
38GA  [H] Lanier Park Hospital 
WN94  [H] East Adams Rural Hospital 
HE34  KIBRIT 
7Y4  Bagley Muni 
85TS  [H] Aerospatiale Helicopter Corp 
SITZ  Fazenda MRV 
NV74  Calvada Meadows 
AU47  Drysdale Strip 
SKOE  Orocue 
7MO3  B S Ranch 
SIWA  Fazenda Estrela do Aripuana 
UAFW  KANT 
TE45  Buffalo Chips Airpark 
NY2  CAMILLUS 
CD75  [H] Whitewater 
7X0  [H] Florida Keys Memorial Hospital 
1II6  [H] St Marys Medical Center 
23X  Idle Wild 
NV60  [H] Carson-Tahoe Hospital 
WW69  Polimo (GKI) 
RJT1  Honda 
65TA  Flying C Ranch 
KEYQ  Weiser Air Park 
AU53  Mundrabilla Road 
SIVE  Fazenda Royal 
ZLJC  Jinchang Jinchuan 
MD58  [H] Norwood 
SKMZ  La Nubia 
TE51  Lackorn 
9CA2  [H] Pioneers Meml Hospital 
NA51  Anderson Airstrip 
3OH1  Morningstar North 
OEGS  Gassim Prince Naif 
52LL  Dick Burns Farm 
LP77  Santa Margarida 
KPAO  Palo Alto 
6WA0  [H] St Josephs Hospital 
HE20  RAS JIMSAH NEW 
MS69  Falcon Field 
HLLT  Tripoli Intl 
YLTH  Hagley 
KWDR  WINDER BARROW 
20TA  [H] Life Flight 
GA75  Meadowlark 
FKKD  Douala Intl. 
CT22  [H] H O Penn-1 
IA58  B-8 Farms 
4OH8  Huffman Farm 
VOTP  TIRUPATI 
48FL  Mc Kinnon Airpark 
YWBE  Werribee Vic 
ENHV  Honningsvaag Valan 
2F2  [H] Bell Helicopter Hurst 
17LL  Oink Acres 
SE58  BANASUR 
04NY  Klaverack 
OR18  [H] Davis 
56E  Park Springs 
SNPC  Picos 
EG62  Lamb Holme 
AYVN  Vanimo 
SBFT  FRONTEIRA 
8KS6  [H] Wesley Medical Center 
AR35  Henson Farm 
CHW2  Orangeville Headwaters Healthcare Centre Heliport 
SNSX  Fazenda Sao Martinho 
55KY  [H] Hutson 
MT27  [H] Columbus Hospital 
U98  Idaho City USFS 
46IL  [H] Mc Donough County Hospital 
KWEA  Parker County 
IA70  Friesenborg & Larson 
FB43  Lotlake Pan 
VCCT  China Bay 
VTCN  Nan 
06WN  Western Airpark 
LIMG  Albenga 
CFX2  CALGARY OKOTOKS AIR PARK 
54M  Wolf River 
OR30  D M Stevenson Ranch 
6KS3  Walker Strip 
SLJO  San Joaquin 
XS14  Weese International 
19CL  Palisades Ranch 
L71  CALIFORNIA CITY MUNI 
SNQP  Fazenda Sao Francisco 
SIWV  Boa Vista 
FYTO  Torra Bay 
7CA7  [H] Brian Chuchua Jeep 
03IL  Wix 
WW41  Ogam (CAMA) 
YPEP  Peppimenarti 
NV48  [H] Circus Circus 
K17  Montezuma Muni 
10KY  [H] Southwest Government Center 
SITM  [H] Trama 
22K  Halstead 
MMIT  Ixtepec 
9W0  Warrenton Air Park 
MD70  Flying Acres 
EGBK  Sywell Aerodrome 
NA79  Philbrick Private. Airstrip 
52ND  Richtsmeier 
MS41  Flying Y Service 
AL92  Hawk Field 
OISL  Lar 
WIHP  Pondok Cabe 
YKRY  Kingaroy 
AL86  [H] Lawrence County Hospital 
MS55  Schloss Adlers 
YGDN  GORDON DOWNS 
ZYQQ  SANJIAZI 
FYUK  Usakos 
KGAB  Gabbs 
SIVR  Fazenda Sao Raimundo 
CD49  [H] Matheson 
9MO6  Ivy Bend 
CCG4  Moncton McEwen 
WW55  Pasina (CAMA) 
67OI  [H] Northside & Tod Childrens Hospital 
SIUI  [H] Internacional Paper Mogi Guacu 
9V4  Cole Memorial 
03KS  [H] Valley Grain 
KEYF  Curtis L Brown Jr Field 
SKNV  BENITO SALAS 
MD64  Stewart 
5C8  WASHBURN MUNI 
LILC  Calcinate del Pesce 
55I  Slate Run 
SNSO  Serro 
OR24  Barrett Field 
L65  PERRIS VALLEY 
YWBR  Warburton 
ENHA  Hamar 
SNPT  Passa Tempo 
56R  Circle R Resort Ranch 
YBYW  Bayswater 
MT33  Bair 
GA49  Thistle Field 
IA64  [H] Iowa Methodist Medical Center 
4OK4  Low Pass 
FB57  Nxabega 
22OI  Giovannone 
LPBJ  Beja 
SWSM  FAZENDA SANTA MARIA 
LPLA  Lajes 
OLBA  Rafic Hariri International 
HL49  AMAL V12 
USTL  Plekhanovo 
SWPV  Planaltina 
WI31  MINNESUING 
NH38  Leavitt 
MM31  FAUSTO VEGA SANTANDER 
4TS2  [H] Wilshire Place 
0S1  Meadow Creek USFS 
LKZL  Zlin 
KBQK  Brunswick Golden Isles 
RODN  KADENA AB 
KGLR  GAYLORD RGNL 
E30  Bruce Fld 
YPID  Phillip Island 
5M3  Moultonboro 
EGMD  Lydd 
WY66  Chamberlain Brothers Ranch 
XEK000G  Frederikshavn Naval Station 
SIXY  [H] Fabrica Fortaleza 
AU84  Valley Field 
WN57  [H] Bade Rotor and Wing Svc. 
YIGM  Ingham 
NA86  Johnson Private Airstrip 
FBMM  Makalamabedi 
XEKCC  Copenhagen Seaport 
YERA  ERRABIDDY HS 
FNXA  XANGONGO 
EPOA  Olesnica 
YIER  [H] PIER 35 HELIPORT 
WN43  [H] Lower Granite Dam 
FBOR  Orapa 
AL79  Bartlett Ranch 
WIDD  Batam Hang Nadim 
NA92  Roy Lohse 
KRVS  Richard Lloyd Jones Jr 
YESE  ELROSE 
SIZF  Nossa Senhora das Gracas 
8NA7  [H] Camp Grafton 
XEK001C  HJVS Nymindegab 
E24  WHITERIVER 
69MN  Yaggie - Private 
RJX2  Daicolo-Aibetsu 
AU90  Cranbrook 
ENGN  Folldal 
KBST  Belfast Muni 
0CO5  Mack Mesa 
MM25  CIUDAD GUZMAN 
0R5  David G Joyce 
1NC3  Fletchers 
ENDU  Bardufoss 
SBIL  Ilheus 
CJC5  Shaunavon 
OK32  [H] BMC 
SWRI  FAZENDA RONCADOR I 
XEG3PM  Palmer Moor Farm 
SWQR  Estancia Norteagro 
WI25  Durand Muni 
YWOU  Wombungi 
YWLN  WOOLTANA 
2H9  ROLETTE 
58N  Reigle Field 
SWPA  Pedro Afonso 
XNZCV  Culverden 
YBWK  [S] BAWAKA 
FB80  Tshitshwa 
LRTR  Traian Vuia 
SWSZ  Fazenda Santa Luzia 
PN62  Cataney 
YBTP  Battery Downs 
AK37  [H] Point Mackenzie 
NH04  Country Club Air Park 
AL51  Flying Cs Plantation 
MS82  Shade Tree Field 
EPMI  MIROSLAWIEC 
3AK2  Niklason Lake Estates 
7TN5  Fairfield Airpark 
SIXN  [H] Soufer 
NUG  Nuguria 
ZLDH  Dunhuang 
98TA  [H] Campbell Memorial Hospital 
XEK0001  Lindtorp 
EGNH  Blackpool 
KGLE  Gainesville Municipal 
XEK000P  Kertinge Mark 
6NA2  South Hector Airstrip 
WW82  Ros Bori (SIL) 
69MY  Stegmaier 
78TS  [H] Valley International 
SIYJ  [H] Avenida Sul 
9Z7  Kvichak Diamond J 
SKBU  Gerardo Tobar López 
XEK0015  Braedstrup Nord 
YPKL  Puckapunyal 
SIZQ  Fazenda Real 
KICR  Winner Regl 
ZBHD  Handan Matou 
WW96  Semadai (MAF) 
EGLW  [H] London Heliport 
MS96  Barrett Field 
CZFD  Fond du Lac 
AL45  [H] Baptist Medical Center - Montclair 
4FL9  Gore 
WIDS  Singkep Dabo 
SWQE  Querari 
FB94  Xarakai 
HL61  SARIR 
YBUT  BUTHEROO 
NH10  [H] Audley Divide 
LPMR  Monte Real AB 
0CL9  [H] Sce San Jacinto Valley Service Center 
08WA  [H] Manchester Laboratory 
ENDB  [H] Dombås Brunshaugen 
80GA  Murphys Landing 
0Q9  Sonoma Skypark 
ED3  Oyen Muni 
FYOE  Omega 
7A2  Demopolis Muni 
8LL2  Eckberg 
XLD0003  Vukovar / Borovo Naselje 
0FD6  [S] Fulton 
SIOG  [H] Oasis Graal 
I29  [H] East Port 
PR10  BOQUERON 
IS19  [H] Lutheran General Hospital 
KRCR  Fulton County IN 
VA50  Woods Farm Airstrip 
ID28  [S] Tanglefoot 
7VA8  [H] Tri-Cities 
AGGC  Choiseul Bay 
NC47  [H] Paradox Heliport 
3MI7  Willie Run 
SWDS  Fazenda Favo de Mel 
0VA1  Johnson Fox Field 
ND21  Hazelton Municipal 
SWGH  Fazenda Primavera 
YNUN  NUNTHERUNGIE 
59FD  Big Cypress 
CJV4  Otter Lake 
74X  Triple M 
LB36  SOKOLOVO 
CA05  Fort Bidwell 
SNIA  Igarape-Acu 
LKMR  Marianske Lazne 
ENRO  Roros 
SNJZ  Faz. Santa Izabel do Porto Seguro da J 
MA28  [H] Congamond Lake 
LB22  STANKE DIMITROV 
KBDJ  Boulder Junction Payzer 
NZNP  NEW PLYMOUTH 
RCDC  PINGTUNG SOUTH 
2PA2  Lehman 
AYMS  Misima Island 
CA11  Mc Cloud Airstrip 
SNHE  Fazenda Inhumas do Chapadao 
8IS4  [H] Hillsboro Hospital 
LEBE  Beas de Segura 
NZMK  Motueka 
76G  Marine City 
LGZA  Zakynthos International Airport Dionysios Solomos 
ENSK  Stokmarknes Skagen 
RORT  TARAMA 
0F0  Horne 
SWEW  Fazenda Felicidade 
ND35  Lindemann 
SWFL  Fazenda Peixe Bravo 
YBAF  Archerfield 
YLOU  LOUISA DOWNS 
33MI  Great Lakes 
0TX1  Pecan Plantation 
57IS  Dozier 
YNTJ  NEUTRAL JUNCTION 
VA44  Rose Retreat Farm 
7TX8  Flying K 
WIPA  Sultan Thaha 
NC53  [H] Tusquitee 
FYNA  Namutoni 
SIMX  Fazenda Jangada 
KGZH  Evergreen Regl/Middleton Field 
MMPA  Poza Rica 
RJOM  Matsuyama 
SKVG  Villa Garzon 
SINC  Nova Conceicao Agroindustrial 
85NJ  [H] Webcraft 
12IS  [H] Mercer County Hospital 
PR04  [H] Squibb 
EGXE  RAF Leeming 
5X2  Flying-H 
XHIN  Hinton in the Hedges 
2NK5  [H] NCH 
AGGT  Santa Anna 
SPBB  Moyobamba 
KRCE  CLARENCE E PAGE MUNI 
ID14  [H] Benewah Community Hospital 
OIKJ  Jiroft 
SPAY  Atalaya 
1IS8  [H] Swords 
SIOP  Fazenda Londrina II 
XLD000E  Daruvar 
BW4  Bob Quinn Lake 
FYOR  Oropoko 
SILK  [H] O Estado de Sao Paulo 
CA39  Graywood Ranch 
06OH  Hal Joy Airfield 
99G  Carls 
KLHQ  Fairfield Co 
VTX2  Ban Bung 
NZLX  Alexandra 
77T  Kittie Hill 
N73  Red Lion 
SNJM  Aeroporto Elias Breder 
ENQC  [H] Troll C Platform 
OP32  KHAIRPUR 
0D8  Gettysburg Muni 
LECV  [H] MADRID/Colmenar Viejo 
SNIV  Fazenda Jumari 
Y42  Todd Field 
LRCL  Cluj Napoca 
UT32  [H] Ashley Valley Medical Center 
44IN  Rush 
4OR6  Auberge Des Fleurs 
OG03  [H] Columbia Memorial Hospital 
ND09  Bryn 
LRBH  Chrystal Tower / Bucharest 
Y56  Peterson 
XLILU  Locher Airfield 
20OK  Will and Wileys Aerodrome 
31VA  Aberdeen Field 
UT26  Bryce Woodland Estates Landing Strip 
KUDG  Darlington County Jetport 
2IL7  Moores Field 
33NE  Orr Ranch 
0MU4  Slaughter 
KBGF  Winchester Muni 
VTY6  Klang Dong 
KLIU  Littlefield Taylor Brown Muni 
SNKI  Cachoeiro Do Itapemirim 
EP6  Warner 
OP26  Khewra 
UHWW  Knevichi 
AYMD  Madang 
75K  Bethany Memorial 
SLSM  San Ignacio De Moxos 
BIVH  Varmahlid 
SINT  Fazenda Santa Adelia 
OPDG  D G KHAN 
74VA  [H] The Fair Oaks Hospital 
03M  [S] Lakeside Marina 
65OK  [H] Lakemont Shores 
EKNE  Nini East 
9N2  [S] Philadelphia 
LBGO  Gorna Oryahovitsa 
I01  [H] Empress River Casino 
76NE  [H] Good Samaritan 
SIMO  Posto de Protecao Ambiental Santo Andr 
EGX3  Weybourne 
SKVP  ALFONSO LOPEZ PUMAREJO 
RJOZ  OZUKI 
IS31  [H] M G T Channahon Illinois 
2NJ1  Jugtown Mountain 
MZPL  Placencia 
YKID  Kidston 
5GA6  Roney Farms 
XK001S  County Rescue Services 
NC84  [H] West Wind 
GCLA  La Palma 
OERR  Arar Domestic 
VA93  Ayers 
KPTN  HARRY P WILLIAMS MEM 
P03  Cochise College 
SICD  [H] Mima 2 
KIZG  Eastern Slopes Regional 
KEOK  Keokuk Muni 
89VA  Hidden River 
UARR  Uralsk 
EGUB  RAF Benson 
SN33  Holmes Airpark 
5U5  FAIRFIELD 
KGWO  GREENWOOD LEFLORE 
7M1  Mc Gehee Muni 
KELP  El Paso Intl 
FY57  Wilhelmstal 
SNFY  [H] Compesa 
XFA000K  Howick 
0K7  HUMBOLDT MUNI 
NTMD  Nuku Hiva 
SBPN  PORTO NACIONAL 
YWWD  WEEWONDILLA 
SNEB  Paragominas 
BGUK  Upernavik 
5ND3  Craig - Private 
SWKK  [X] Cacoal 
XEG001Z  Rhoshirwaun 
YBLA  Benalla 
YNYM  NYMAGEE 
SWHP  Fazenda Olho D' Agua 
SUSO  Nueva Hesperides 
OI24  GONBAD GHABUS 
SWJO  Fazenda Sao Paulo - Retiro Santa Maria 
YBME  BARMEDMAN 
4MD9  St John 
6PS3  Champ Field 
OI30  Brady 
94W  Windy Ridge 
FY43  Sigireti 
AYBK  Buka 
YUND  Mundiwa 
0J3  [H] Jrmc 
VTV9  Saraburi Tantawan 
VTUC  Chaiyaphum 
2R7  Franklinton 
FY4R  Travena 
SNDF  Fazenda Santa Lucia 
N98  Boyne City Muni 
LENF  Monforte de Lemos 
KGUP  Gallup Municipal 
8NY1  [H] James Carl Memorial 
XRP000D  Lepanto Mines 
SN27  Bovinair 
EGTF  Fairoaks 
YPPF  Adelaide Parafield 
7L5  [H] L A County Sheriffs Department 
8LA5  [H] Chevron Southpass Tank Battery W-2 
RJCN  Nakashibetsu 
KEMT  San Gabriel Valley Muni 
KRMN  Stafford Regl 
3MD0  Faux-Burhans 
NC90  [H] Wbtv 
VA87  Valley View 
KPUJ  Paulding Northwest Atlanta 
YKEP  Lake Keepit 
NM48  Esenada 
EKCB  Aarslev 
6LA0  [H] Jackson Barracks 
XRP002L  Lambayong 
KIYK  Inyokern 
EGVN  RAF Brize Norton 
5V9  Navajo Landing Strip 
XRP001W  Bacuyangan 
78NJ  [H] Hazlet Township Police 
SICS  [H] Base Resgate 
6NY4  West Township 
RJAF  Matsumoto 
TUPJ  Terrance B Lettsome Intl 
YGRT  GRAYTOWN 
NM60  [H] Hoffmann Helicopters 
XK001D  Beaver Dam Comm Hospital 
5IA9  [H] Community Memorial Health Center 
NJ06  B J Farms 
XEG002V  Horsley Brook Farm 
W59  Hinton-Alderson 
YBOM  Bombala 
SWHG  Santa Helena De Goias 
2IA0  [H] Genesis Medical Center East Campus 
YBLV  Belvoir Park Function Centre 
08NC  Whiteheart Farm 
FY5A  Witputx (Sued) 
19WI  Erickson Field 
YWWS  Wirraway Station 
LL11  [H] Edward Hospital 
SNEU  EUCLIDES DA CUNHA 
YWTH  [H] WATERHOUSE ISLAND 
1LA9  [H] Chevron Intracoastal 
95D  Beulah 
VTT1  Sangklaburi Airstrip 
LELN  Leon 
EBKW  Westkapelle Heliport 
SNFN  Fazenda Santa Fe 
TN06  Wilkerson Field 
5WI6  Independence 
OYBN  BEIHAN 
FY4E  Strathmore Tin Mine 
CO36  [H] Elbert County 
VTUT  Loeng Nok Tha 
15CA  [H] Stanford Univ. Hospital 
SNDQ  Fazenda Soya 
YWUL  WULWUWUY 
SBRF  Recife Intl Airport 
KBKE  BAKER CITY MUNI 
SNGJ  Grajau 
HEPS  Port Said 
YBNI  Baniyala 
NJ12  [H] State Police Bloomfield 
SWIC  [H] Carneiros Beach Resort 
PGRO  ROTA INTL 
XEG000I  North Moor 
XEG0033  Halwell Airfield 
YBMR  Barmera 
Y95  Hillman 
HESH  SHARM EL SHEIKH INTL 
SWJX  Fazenda das Perobas 
50CA  [H] St Mary Medical Center 
OIFM  Esfahan Shahid Beheshti Intl 
KRMY  Brooks Field 
KPVF  Placerville 
XRP003H  Mabantao 
XRP0002  Hermana Mayor 
EELU  Lyckholm 
9B1  Marlboro 
SIAL  [H] Summerville 
XRP000S  Nampicuan 
SIBW  CONCEICAO 
FYAN  Aranos 
VA83  Fincastle 
P13  SAN CARLOS APACHE 
EPWC  Swiebodzice 
YGSC  GASCOYNE JUNCTION 
